reviews,reviews_clean,labels,labels_name
Almost all of the songs in Cover Girl are old-fashioned and not very tuneful.  ,almost song cover girl oldfashion not veri tuneful,0,Bad
The most annoying thing about 'Cover Girl' is the way in which Rita Hayworth is put up on a pedestal.  ,annoy thing cover girl way rita hayworth put pedestal,0,Bad
"Unfortunately, 'Cover Girl' is an example of how Hollywood used to exploit women for financial gain.  ",unfortunately cover girl exampl hollywood use exploit women financi gain,0,Bad
Non-linear narration thus many flashbacks and every part are articulated quite well.  ,nonlinear narrat thu mani flashback everi part articul quit well,1,Good
The good cinematography also makes her and Monica Bellucci look very beautiful.  ,good cinematographi also make monica bellucci look veri beautiful,1,Good
A good commentary of today's love and undoubtedly a film worth seeing.  ,good commentari today love undoubtedli film worth seeing,1,Good
"For people who are first timers in film making, I think they did an excellent job!!  ",peopl first timer film making think excel job,1,Good
"It was very popular when I was in the cinema, a good house and very good reactions and plenty of laughs.  ",wa veri popular wa cinema good hous veri good reaction plenti laughs,1,Good
It's a feel-good film and that's how I felt when I came out of the cinema!  ,feelgood film felt came cinema,1,Good
It has northern humour and positive about the community it represents.  ,ha northern humour posit commun represents,1,Good
I rather enjoyed it.  ,rather enjoy,1,Good
I liked it.  ,like,1,Good
I couldn't take them seriously.  ,could not take seriously,0,Bad
It really created a unique feeling though.  ,realli creat uniqu feel though,1,Good
Vivian Schilling did an excellent job with the script.  ,vivian schill excel job script,1,Good
A world better than 95% of the garbage in the theatres today.  ,world better garbag theatr today,1,Good
Her role was played well.  ,role wa play well,1,Good
Not too screamy not to masculine but just right.  ,not screami not masculin right,1,Good
The camera really likes her in this movie.  ,camera realli like thi movie,1,Good
I would have casted her in that role after ready the script.  ,would cast role readi script,1,Good
"As a European, the movie is a nice throwback to my time as a student in the 1980's and the experiences I had living abroad and interacting with other nationalities, although the circumstances were slightly different.  ",european movi nice throwback time student experi live abroad interact nationalities although circumst slightli different,1,Good
I am a fan of his ... This movie sucked really bad.  ,fan hi thi movi suck realli bad,0,Bad
Even worse than Ticker!  ,even wors ticker,0,Bad
& That movie was bad.  ,movi wa bad,0,Bad
"Only like 3 or 4 buildings used, a couple of locations MAYBE, & poor hummh!  ",onli like build used coupl locat maybe poor hummh,0,Bad
It just blew.  ,blew,0,Bad
"This movie is excellent!Angel is beautiful and Scamp is adorable!His little yelps when hes scared,and the funniest parts are when:Scamp is caught under the curtain and when Angel and Scamp are singing 'Ive Never Had This Feeling Before'.I totally recommend this movie,its coming out on special edition on June 20.The cover has scamp on a garbage can and Angel underneath the lid.  ",thi movi excellent angel beauti scamp adorable hi littl yelp scaredand funniest part whenscamp caught curtain angel scamp sing ive never thi feel total recommend thi movieit come special edit june cover ha scamp garbag angel underneath lid,1,Good
"I just cant explain this movie more than romantic,charming,hilarious,and adorable.The junkyard scenes are funny,all the junkyard dogs have something special.Too funny i laughed,kids will LOVE it.Buy it when it comes out,it has new features!  ",cant explain thi movi romanticcharminghilariousand adorable th junkyard scene funnyal junkyard dog someth special funni laughedkid love buy come outit ha new features,1,Good
Now we were chosen to be tortured with this disgusting piece of blatant American propaganda.  ,chosen tortur thi disgust piec blatant american propaganda,0,Bad
This show is made for Americans - it is too stupid and full with hatred and clichés to be admitted elsewhere.  ,thi show made american stupid full hatr clich admit elsewhere,0,Bad
"Almost everyone involved must be return to school, acting is utterly predictable and bad, script is pile of garbage all round.  ",almost everyon involv must return school act utterli predict bad script pile garbag round,0,Bad
"I wish I could enter negative values, admins?  ",wish could enter neg values admins,0,Bad
"The sets are so bad, they wouldn't look out of place on a Thunderbirds episode.  ",set bad would not look place thunderbird episode,0,Bad
"The use of slow-motion needlessly repeats itself throughout the movie but is well backed up by bad acting (and bad is a kind word here), no continuity, scenes that are thrown in for no reason whatsoever, vehicles that looked like they were made from a Corn Flakes box and a directorial style that bordered on stupidity.  ",use slowmot needlessli repeat throughout movi well back bad act bad kind word no continuity scene thrown no reason whatsoever vehicl look like made corn flake box directori style border stupidity,0,Bad
"Oh yeah, and the storyline was pathetic too.  ",oh yeah storylin wa pathet,0,Bad
I hate writing bad reviews about films - especially those in which I really like the star - but this film is so bad I don't believe for one second that anyone could have been proud of it.  ,hate write bad review film especi realli like star thi film bad not believ one second anyon could proud,0,Bad
I am not a filmmaker nor am I a director but I would hide my head in the sand if I'd spent whatever amount of money and time on this movie.  ,not filmmak director would hide head sand would spent whatev amount money time thi movie,0,Bad
In short - this was a monumental waste of time and energy and I would not recommend anyone to EVER see this film.  ,short thi wa monument wast time energi would not recommend anyon ever see thi film,0,Bad
It came free with a DVD player I bought but I still turned the thing off halfway through because I was embarrassed for Howell.  ,came free dvd player bought still turn thing halfway becaus wa embarrass howell,0,Bad
1/10 - and only because there is no setting for 0/10.  ,onli becaus no set,0,Bad
"An interesting premise, and Billy Drago is always good as a dangerous nut-bag (side note: I'd love to see Drago, Stephen McHattie and Lance Hendrikson in a flick together; talk about raging cheekbones!).  ",interest premise billi drago alway good danger nutbag side note would love see drago stephen mchatti lanc hendrikson flick together talk rage cheekbones,1,Good
"The soundtrack wasn't terrible, either.  ",soundtrack wa not terrible either,1,Good
"But the acting--even that of such professionals as Drago and Debbie Rochon--was terrible, the directing worse (perhaps contributory to the former), the dialog chimp-like, and the camera work, barely tolerable.  ",actingeven profession drago debbi rochonwa terrible direct wors perhap contributori former dialog chimplike camera work bare tolerable,0,Bad
"Still, it was the SETS that got a big 10 on my oy-vey scale.  ",still wa set got big oyvey scale,1,Good
"Yes, I am simplifying things here for the sake of brevity, for this really is at the core of the problems with this film - it has too much going on without any real, fulfilling explanation.  ",yes simplifi thing sake brevity thi realli core problem thi film ha much go without ani real fulfil explanation,0,Bad
Both do good jobs and are quite amusing.  ,good job quit amusing,1,Good
"But the convoluted plot just didn't convince me, and much of the film was watched with a weird, questioning glance.  ",convolut plot not convinc much film wa watch weird question glance,0,Bad
"I let my girlfriend talk me into seeing this - bad idea, we both hated it.  ",let girlfriend talk see thi bad idea hate,0,Bad
The last 15 minutes of movie are also not bad as well.  ,last minut movi also not bad well,1,Good
"Bela Lugosi was totally extraneous, intoning odd lines.  ",bela lugosi wa total extraneous inton odd lines,0,Bad
"The acting was decidely wooden, though no worse than a period Universal B movie.  ",act wa decid wooden though no wors period univers b movie,0,Bad
"I like Armand Assante & my cable company's summary sounded interesting, so I watched it, twice already, and probably will again.  ",like armand assant cabl compani summari sound interesting watch twice already probabl,1,Good
I believe the screenwriter did a good job of tying up the loose ends.  ,believ screenwrit good job tie loos ends,1,Good
My 8/10 score is mostly for the plot.  ,score mostli plot,1,Good
"I won't say any more - I don't like spoilers, so I don't want to be one, but I believe this film is worth your time.  ",not say ani not like spoilers not want one believ thi film worth time,1,Good
"Wow, what a bad film.  ",wow bad film,0,Bad
"Not frightening in the least, and barely comprehensible.  ",not frighten least bare comprehensible,0,Bad
"The plot doesn't hang together at all, and the acting is absolutely appalling.  ",plot doe not hang togeth act absolut appalling,0,Bad
Not even good for camp value!  ,not even good camp value,0,Bad
"I wasn't expecting Oscar material, but this?  ",wa not expect oscar material,0,Bad
You'd have to have the IQ of particularly stupid mollusk not to see that one coming.  ,would iq particularli stupid mollusk not see one coming,0,Bad
This film (and I use that word loosely) is an insult to the movie-going public.  ,thi film use word loosely insult moviego public,0,Bad
If only someone involved with it knew how to string together narrative!  ,onli someon involv knew string togeth narrative,0,Bad
"This gets a 1 out of 10, simply because there's nothing lower.  ",thi get simpli becaus noth lower,0,Bad
"This is one I did not have, but I watched it recently on Fox Movie Channel, and was very disappointed.  ",thi one not watch recent fox movi channel wa veri disappointed,0,Bad
"I know he was a contract player with little control over his scripts, but the acting was as bad as the script.  ",know wa contract player littl control hi scripts act wa bad script,0,Bad
"Victor McLaglen was even bad, and Brian DonLevy was almost unrecognizable.  ",victor mclaglen wa even bad brian donlevi wa almost unrecognizable,0,Bad
"Considering the relations off screen between Taylor and Stanwyck, it was surprising how little chemistry there was on screen between the two of them.  ",consid relat screen taylor stanwyck wa surpris littl chemistri wa screen two,0,Bad
But the premise of the film was so ridiculous: that the President of the U.S.  ,premis film wa ridiculous presid u,0,Bad
The death row scenes were entirely unmoving.  ,death row scene entir unmoving,0,Bad
The only thing worse than Taylor's acting was Stanwyck's singing.  ,onli thing wors taylor act wa stanwyck singing,0,Bad
"Whatever the producer was going for, he missed entirely.  ",whatev produc wa go miss entirely,0,Bad
I was deeply impressed with the character he played.  ,wa deepli impress charact played,1,Good
I knew when I saw the film that more great things were to come from this gifted actor.  ,knew saw film great thing come thi gift actor,1,Good
"A cheap and cheerless heist movie with poor characterisation, lots of underbite style stoic emoting (think Chow Yun Fat in A Better Tomorrow) and some cheesy clichés thrown into an abandoned factory ready for a few poorly executed flying judo rolls a la John Woo.  ",cheap cheerless heist movi poor characterisation lot underbit style stoic emot think chow yun fat better tomorrow cheesi clich thrown abandon factori readi poorli execut fli judo roll la john woo,0,Bad
Even the squibs look awful.  ,even squib look awful,0,Bad
At no point in the proceedings does it look remotely like America.  ,no point proceed doe look remot like america,0,Bad
"The plot, such as it is, is so derivative and predictable that the ending is like a mercy killing.  ",plot deriv predict end like merci killing,0,Bad
The awful dialogue and hopeless overacting by everyone who gets shot top off a real waste of space and time.  ,aw dialogu hopeless overact everyon get shot top real wast space time,0,Bad
"I was very uneasy with how bad this movie was, but not scared at all.  ",wa veri uneasi bad thi movi not scare,0,Bad
The dialogue is composed of things that make little sense.  ,dialogu compos thing make littl sense,0,Bad
"About 30 minutes of footage is wasted to show mediocre elderly actors awkwardly babbling overwrought pseudo-Satanic gibberish corny enough to make a teen Goth blush, almost always in Olde English, and sometimes in Latin that may or may not be made up words.  ",minut footag wast show mediocr elderli actor awkwardli babbl overwrought pseudosatan gibberish corni enough make teen goth blush almost alway old english sometim latin may may not made words,0,Bad
The directing is sloppy at best.  ,direct sloppi best,0,Bad
"Hackneyed writing, certainly, but made even worse by the bad directing.  ",hackney writing certainly made even wors bad directing,0,Bad
"Of course, the acting is blah.  ",course act blah,0,Bad
The acting by the whole cast could be put on a scale and balanced perfectly between overacting and underacting.  ,act whole cast could put scale balanc perfectli overact underacting,0,Bad
"And, FINALLY, after all that, we get to an ending that would've been great had it been handled by competent people and not Jerry Falwell.  ",finally get end would great handl compet peopl not jerri falwell,0,Bad
"I loved this movie it was a great portrayal of a family who had it's share of ups and down, but in the end they knew that special love they had for each other.  ",love thi movi wa great portray famili share end knew special love,1,Good
"I have seen many movies starring Jaclyn Smith, but my god this was one of her best, though it came out 12 years ago.  ",seen mani movi star jaclyn smith god thi wa one best though came year ago,1,Good
"This movie contained an all-star cast, and what I loved the most was that it opened my eyes to see other actors who I haven't seen before.  ",thi movi contain allstar cast love wa open eye see actor not seen,1,Good
"This movie was kind of long in length, but I enjoyed every minute of it.  ",thi movi wa kind long length enjoy everi minut,1,Good
Overall I rate this movie a 10 out of a 1-10 scale.  ,overal rate thi movi scale,1,Good
"Lifetime does not air it enough, so if anyone knows what store sells it let me know because this is a must-have.  ",lifetim doe not air enough anyon know store sell let know becaus thi musthave,1,Good
"I particularly remember my senses being assaulted by strident cords of music that would blare out with very little warning, and even less meaning.  ",particularli rememb sens assault strident cord music would blare veri littl warning even less meaning,0,Bad
It is just the sort of pap that is screened in the afternoon to punish the unemployed for not having jobs.  ,sort pap screen afternoon punish unemploy not jobs,0,Bad
"Totally different, with loads of understatement and black comedy, this is a film few get to see, but those who do will remember it.  ",total different load understat black comedy thi film get see rememb,1,Good
"This movie creates its own universe, and is fascinating in every way.  ",thi movi creat universe fascin everi way,1,Good
But this movie really got to me.  ,thi movi realli got,1,Good
See it.  ,see,1,Good
"I really hope the team behind this movie makes more movies, and that they will continue to do so in their own, some kinda weird style.  ",realli hope team behind thi movi make movies continu kinda weird style,1,Good
"And I forgot: The Casting here i superb, with Trond Fausa Aurvåg being perfect in the role as the Bothersome Man, who doesn't understand where he is, what he is doing and why.  ",forgot cast superb trond fausa aurvag perfect role bothersom man doe not understand,1,Good
This movie is a good and humorous comment on life in 2006.  ,thi movi good humor comment life,1,Good
"I found this move beautiful, enjoyable, and uplifting.  ",found thi move beautiful enjoyable uplifting,1,Good
"Initially the local sites in the film, which was filmed here in Buffalo, intrigued me.  ",initi local site film wa film buffalo intrigu,1,Good
Later I found myself lost in the power of the film.  ,later found lost power film,1,Good
The entire audience applauded at the conclusion of the film.  ,entir audienc applaud conclus film,1,Good
"I left the theater with a lilt in my step, joy in my heart and hope for the human race.  ",left theater lilt step joy heart hope human race,1,Good
Duris has a wholesome appearance and gives a fine performance.  ,duri ha wholesom appear give fine performance,1,Good
The rest of the cast also play well.  ,rest cast also play well,1,Good
Cinematography noteworthy including fine views of Barcelona and its famed Gaudi towers.  ,cinematographi noteworthi includ fine view barcelona fame gaudi towers,1,Good
About ten minutes into this film I started having second thoughts.  ,ten minut thi film start second thoughts,0,Bad
About half way through this film I started to dislike it.  ,half way thi film start dislik,0,Bad
"By the time the film ended, I not only disliked it, I despised it.  ",time film ended not onli dislik despis,0,Bad
What this film lacks is a convincing script.  ,thi film lack convinc script,0,Bad
The script looks as if only a rough draft was written and shooting began before a finished script was completed.  ,script look onli rough draft wa written shoot began befor finish script wa completed,0,Bad
"Things happen, characters personalities change, plot twists occur for no real reason other than that script calls for it.  ",thing happen charact person change plot twist occur no real reason script call,0,Bad
The cast is good.  ,cast good,1,Good
"For that, it's worth checking out.  ",worth check,1,Good
This is probably the most irritating show I have ever seen in my entire life.  ,thi probabl irrit show ever seen entir life,0,Bad
It is indescribably the most annoying and idiotic show I have ever seen.  ,indescrib annoy idiot show ever seen,0,Bad
Everything about it is just bad.  ,everyth bad,0,Bad
"I could not understand, what kind of idiot would produce this mess in the first place not to mention several season.  ",could not understand kind idiot would produc thi mess first place not mention sever season,0,Bad
"The script is bad, very bad  it contains both cheesiness and unethical joke that you normally see in rated R or NC-17 movie.  ",script bad veri bad contain cheesi uneth joke normal see rate r nc movie,0,Bad
"The casting is also horrible, cause all you see is a really really BAD Actors, period.  ",cast also horrible caus see realli realli bad actors period,0,Bad
Final Word: This Show is a real torture!!  ,final word thi show real torture,0,Bad
It is zillion times away from reality.  ,zillion time away reality,0,Bad
Watching washing machine twirling around wouldn't hurt your eyes as much as this show.  ,watch wash machin twirl around would not hurt eye much thi show,0,Bad
Rating: 0/10 (Grade: Z) Note: The Show Is So Bad That Even Mother Of The Cast Pull Her Daughter Out Of The Show.  ,rating grade z note show bad even mother cast pull daughter show,0,Bad
20th Century Fox's ROAD HOUSE 1948) is not only quite a silly noir but is an implausible unmitigated bore of a movie.  ,th centuri fox road hous not onli quit silli noir implaus unmitig bore movie,0,Bad
"Full of unconvincing cardboard characters it is blandly written by Edward Chodorov, who also produced, and is surprisingly directed by Jean Negulesco from whom one would expect a great deal more.  ",full unconvinc cardboard charact blandli written edward chodorov also produced surprisingli direct jean negulesco one would expect great deal,0,Bad
From here on the Widmark character turns unintentionally comical!  ,widmark charact turn unintent comical,0,Bad
His losing his marbles so early in the proceedings is totally implausible and unconvincing.  ,hi lose hi marbl earli proceed total implaus unconvincing,0,Bad
And if that isn't enough of a mess of a movie for you - the picture is also marred with a constant use of studio sets and indoor exteriors.  ,not enough mess movi pictur also mar constant use studio set indoor exteriors,0,Bad
Whatever prompted such a documentary is beyond me!  ,whatev prompt documentari beyond,0,Bad
(very serious spoilers) this movie was a huge disappointment.  ,veri seriou spoilers thi movi wa huge disappointment,0,Bad
there are so many problems i dont know where to start.  ,mani problem dont know start,0,Bad
the cast was great.  ,cast wa great,1,Good
"steve martin delivers a really funny performance of a middle-aged, upper class, uptight white guy.  ",steve martin deliv realli funni perform middleaged upper class uptight white guy,1,Good
add betty white and jean smart and you have a great cast - everyone played their parts really well.  ,add betti white jean smart great cast everyon play part realli well,1,Good
but the movie makes a lot of serious mistakes.  ,movi make lot seriou mistakes,0,Bad
"first of all, there are enough racial stereotypes and racial jokes to offend everyone.  ",first enough racial stereotyp racial joke offend everyone,0,Bad
the movie is littered with overt racial slurs towards the black cast members and in return the whites are depicted as morons and boobs.  ,movi litter overt racial slur toward black cast member return white depict moron boobs,0,Bad
"putting the race card aside, lets look at the major flaw in the film: they destroy latifa's character.  ",put race card aside let look major flaw film destroy latifa character,0,Bad
there is no real plot.  ,no real plot,0,Bad
i wouldnt see this movie again for free.  ,wouldnt see thi movi free,0,Bad
STEAMBOAT WILLIE is an amazingly important film to our cinema history.  ,steamboat willi amazingli import film cinema history,1,Good
This second appearance of Mickey Mouse (following the silent PLANE CRAZY earlier that year) is probably his most famous film--mostly because it was so ground-breaking.  ,thi second appear mickey mous follow silent plane crazi earlier year probabl hi famou filmmostli becaus wa groundbreaking,1,Good
"While you don't yet hear Mickey speak, there are tons of sound effects and music throughout the film--something we take for granted now but which was a huge crowd pleaser in 1928.  ",not yet hear mickey speak ton sound effect music throughout filmsometh take grant wa huge crowd pleaser,1,Good
"However, after seeing the short again after about 25 years, I was amazed at how timeless the film actually is.  ",however see short years wa amaz timeless film actual,1,Good
It's just adorable seeing Mickey playing Turkey in the Straw in a highly imaginative (if occasionally cruel) way.  ,ador see mickey play turkey straw highli imagin occasion cruel way,1,Good
Clever and a real crowd-pleaser--this film still ranks among Mickey's best films even after 80 wonderful years.  ,clever real crowdpleaserthi film still rank among mickey best film even wonder years,1,Good
"The bipolarity of the ruthless thug (one minute a ruthless killer, the next minute a Luv's diaper commercial) is completely unconvincing.  ",bipolar ruthless thug one minut ruthless killer next minut luv diaper commercial complet unconvincing,0,Bad
"I'm terribly disappointed that this film would receive so many awards and accolades, especially when there are far more deserving works of film out there.  ",terribl disappoint thi film would receiv mani award accolades especi far deserv work film,0,Bad
The original Body and Soul (1947) is a masterpiece.  ,origin bodi soul masterpiece,1,Good
"John Garfield, Ann revere, Lilli Plmer, William Conrad, Canada Lee...and filmed by one of the greatest cinematographers to ever grace the screen..James Wong Howe.  ",john garfield ann revere lilli plmer william conrad canada lee film one greatest cinematograph ever grace screen jam wong howe,1,Good
I don't think there are any redeeming qualities in this remake.  ,not think ani redeem qualiti thi remake,0,Bad
This may be the only bad film he ever made.  ,thi may onli bad film ever made,0,Bad
So bad...well...it's just bad.  ,bad well bad,0,Bad
"This movie is a solid example of a bad plot and a very, very bad idea all the way.  ",thi movi solid exampl bad plot veri bad idea way,0,Bad
It's a shame to see good actors like Thomerson and James make a living in a mess like this.  ,shame see good actor like thomerson jame make live mess like,0,Bad
I thought it was bad.  ,thought wa bad,0,Bad
"Both films are terrible, but to the credit of the 1986 version, it was watchable.  ",film terrible credit version wa watchable,0,Bad
"Let's start with all the problemsthe acting, especially from the lead professor, was very, very bad.  ",let us start problemsth acting especi lead professor wa veri bad,0,Bad
The script is a big flawed mess.  ,script big flaw mess,0,Bad
The best example of how dumb the writing is when it's established that you can turn the zombie-students back into humans by removing a necklace containing a piece of the meteorite.  ,best exampl dumb write establish turn zombiestud back human remov necklac contain piec meteorite,0,Bad
"Director Paul Matthews, who also wrote/directed the weak 1995 monster movie Grim, clearly doesn't know how to pace his films.  ",director paul matthews also wrotedirect weak monster movi grim clearli doe not know pace hi films,0,Bad
The movie is terribly boring in places.  ,movi terribl bore places,0,Bad
The lighting is awful.  ,light awful,0,Bad
The film looks cheap and bland.  ,film look cheap bland,0,Bad
One of the most disappointing aspects is the lack of notable gore.  ,one disappoint aspect lack notabl gore,0,Bad
"This convention never worked well in the past, and certainly doesn't work here.  ",thi convent never work well past certainli doe not work,0,Bad
The visual effects were AWFUL.  ,visual effect awful,0,Bad
The CG opening sequence in space looked like it could have been created on Microsoft Slideshow for God's sake!  ,cg open sequenc space look like could creat microsoft slideshow god sake,0,Bad
The explosion of the Gas tanks at the end was just as awful.  ,explos ga tank end wa awful,0,Bad
"Okay, I like to consider myself a fair critic, so I'll give credit where credit's due--the creature effects were actually pretty cool.  ",okay like consid fair critic give credit credit dueth creatur effect actual pretti cool,1,Good
"Gotta love those close-ups of slimy, drooling teeth!  ",gotta love closeup slimy drool teeth,1,Good
"To sum the film up, Breeders is a terrible, cheaply made horror movie that should be avoided like the Ebola virus.  ",sum film breeder terrible cheapli made horror movi avoid like ebola virus,0,Bad
Not recommended.  ,not recommended,0,Bad
"He is almost unbearable to watch on screen, he has little to no charisma, and terrible comedic timing.  ",almost unbear watch screen ha littl no charisma terribl comed timing,0,Bad
"Aside from it's terrible lead, this film has loads of other debits.  ",asid terribl lead thi film ha load debits,0,Bad
"I understand that it's supposed to be a cheap popcorn comedy, but that doesn't mean that it has to completely insult our intelligence, and have writing so incredibly hackneyed that it borders on offensive.  ",understand suppos cheap popcorn comedy doe not mean ha complet insult intelligence write incred hackney border offensive,0,Bad
"Lewis Black's considerable talent is wasted here too, as he is at his most incendiary when he is unrestrained, which the PG-13 rating certainly won't allow.  ",lewi black consider talent wast hi incendiari unrestrained pg rate certainli not allow,0,Bad
The film's sole bright spot was Jonah Hill (who will look almost unrecognizable to fans of the recent Superbad due to the amount of weight he lost in the interim).  ,film sole bright spot wa jonah hill look almost unrecogniz fan recent superbad due amount weight lost interim,1,Good
"With the originality and freshness of the first movie now spent, this remake had little else to offer.  ",origin fresh first movi spent thi remak littl els offer,0,Bad
The budget was evidently very limited.  ,budget wa evid veri limited,0,Bad
"This was reflected not only in the cast, but also in the below-par script, which borrowed much from the earlier classic.  ",thi wa reflect not onli cast also belowpar script borrow much earlier classic,0,Bad
"However, here there was no decent acting, action or location work to balance things up.  ",however wa no decent acting action locat work balanc thing,0,Bad
Filmiing was less expansive.  ,filmi wa less expansive,0,Bad
It failed to convey the broad sweep of landscapes that were a great part of the original.  ,fail convey broad sweep landscap great part original,0,Bad
Generally; it just lacked imagination.  ,generally lack imagination,0,Bad
Not recommended.  ,not recommended,0,Bad
Is it possible for a movie to get any worse than this?  ,possibl movi get ani wors,0,Bad
There is no plot here to keep you going in the first place.  ,no plot keep go first place,0,Bad
"Even when the women finally show up, there is no sign of improvement; the most expected things happen and by the time the film is over, you might be far asleep.  ",even women final show no sign improvement expect thing happen time film might far asleep,0,Bad
"Beware: this is not a trashy cult movie, this is trash -period!  ",beware thi not trashi cult movie thi trash period,0,Bad
I can't believe there's even a sequel to this!  ,cannot believ even sequel,0,Bad
Which is precisely why I am giving it such a bad review!  ,precis whi give bad review,0,Bad
"Being a 90's child, I truly enjoyed this show and I can proudly say that I enjoyed it big time and even more than the classical WB cartoons.  ",child truli enjoy thi show proudli say enjoy big time even classic wb cartoons,1,Good
"But Tiny Toons kept the 90's vibe and delivered one of the most popular, funny, and underrated cartoons ever created.  ",tini toon kept vibe deliv one popular funny underr cartoon ever created,1,Good
The memories are murky but I can only say that I enjoyed every single episode and product related to the show.  ,memori murki onli say enjoy everi singl episod product relat show,1,Good
"Easily, none other cartoon made me laugh in a tender way (before getting into dark sitcoms oriented for teenagers).  ",easily none cartoon made laugh tender way befor get dark sitcom orient teenagers,1,Good
The characters were all funny and had the peculiarity of not having a true lead character.  ,charact funni peculiar not true lead character,1,Good
Every single character was hilarious and deserved to be called a lead.  ,everi singl charact wa hilari deserv call lead,1,Good
"Every element of this story was so over the top, excessively phony and contrived that it was painful to sit through.  ",everi element thi stori wa top excess phoni contriv wa pain sit,0,Bad
"Her lines seem to have been WRITTEN by a fifteen year old, though they are trying oh so, so hard to sound like how a fifteen year old would really, um, you know, well... talk.  ",line seem written fifteen year old though tri oh hard sound like fifteen year old would really um know well talk,0,Bad
Perabo has a nice energy level and is obviously very comfortable in front of a camera.  ,perabo ha nice energi level obvious veri comfort front camera,1,Good
There is simply no excuse for something this poorly done.  ,simpli no excus someth thi poorli done,0,Bad
I saw this movie and I thought this is a stupid movie.  ,saw thi movi thought thi stupid movie,0,Bad
What is even more stupid is that who had thought an idea that there should be a volcano in Los Angeles?  ,even stupid thought idea volcano lo angeles,0,Bad
"To be honest with you, this is unbelievable nonsense and very foolish.  ",honest thi unbeliev nonsens veri foolish,0,Bad
"In conclusion, I will not bother with this movie because a volcano in Los Angeles is nothing but nonsense.  ",conclusion not bother thi movi becaus volcano lo angel noth nonsense,0,Bad
The story line is just awful!  ,stori line awful,0,Bad
It's just painful!  ,painful,0,Bad
And the accents are absolutely abysmal!  ,accent absolut abysmal,0,Bad
There's also enough hypocrisy in this film to make me vomit.  ,also enough hypocrisi thi film make vomit,0,Bad
Don't waste your time watching this rubbish non-researched film.  ,not wast time watch thi rubbish nonresearch film,0,Bad
I believe that Pitch Black was done well.  ,believ pitch black wa done well,1,Good
"The characters are interesting and you want to find out more about them the longer the movie goes on, and I think people will be surprised by who does and doesn't make it.  ",charact interest want find longer movi goe think peopl surpris doe doe not make,1,Good
Go watch it!  ,go watch,1,Good
Omit watching this.  ,omit watch,0,Bad
VERY funny!  ,veri funny,1,Good
My rating: just 3 out of 10.  ,rating,0,Bad
The characters are interesting and you really care for them.  ,charact interest realli care,1,Good
"An instant classic, with a great soundtrack and a catchy song during the ending credits.  ",instant classic great soundtrack catchi song dure end credits,1,Good
Don't miss it.  ,not miss,1,Good
"This is a masterful piece of film-making, with many themes simmering and occasionally boiling over in this warts and all study of the poet's bohemian, self-indulgent wartime years that span the aerial bombardments of London and the outward tranquillity of a Welsh coastal retreat - the borderlines between friendship, lust and love, dedication to art and experience versus practical concerns, jealousy, rivalry, cowardice and egotism versus heroism and self-sacrifice and more.  ",thi master piec filmmaking mani theme simmer occasion boil thi wart studi poet bohemian selfindulg wartim year span aerial bombard london outward tranquil welsh coastal retreat borderlin friendship lust love dedic art experi versu practic concerns jealousy rivalry cowardic egot versu heroism selfsacrific,1,Good
"A mature, subtle script that suggests and occasionally brings into dramatic focus the underlying tensions is well served by perfect performances (apart from the odd inappropriate smiling that Keira Knightley is prone to, though perhaps under direction this time as the other characters themselves often mention it).  ",mature subtl script suggest occasion bring dramat focu underli tension well serv perfect perform apart odd inappropri smile keira knightley prone though perhap direct thi time charact themselv often mention,1,Good
"But above all the exquisite visual composition of each moment, with inventive and elegant use of close-up, camera angle and lighting, including pointillistic faux home movie footage, is a wonder and joy to behold.  ",abov exquisit visual composit moment invent eleg use closeup camera angl lighting includ pointillist faux home movi footage wonder joy behold,1,Good
"It's as continuously beautiful to look at as a Bertolucci, but the relationships here are more convincing and the narrative more engaging than some of that master's work.  ",continu beauti look bertolucci relationship convinc narr engag master work,1,Good
The basic premise is wasted since it is sidelined by the inexplicable focus on the documentary crew.  ,basic premis wast sinc sidelin inexplic focu documentari crew,0,Bad
"Regardless, the film fails on most levels.  ",regardless film fail levels,0,Bad
Avoid at all costs.  ,avoid costs,0,Bad
"I saw this film over Christmas, and what a great film it was!  ",saw thi film christmas great film,1,Good
I thought Errol Flynn was brilliant as Custer and has since become my favourite actor!  ,thought errol flynn wa brilliant custer ha sinc becom favourit actor,1,Good
His acting alongside Olivia De Havilland was brilliant and the ending was fantastic!  ,hi act alongsid olivia de havilland wa brilliant end wa fantastic,1,Good
"I had always known that Errol Flynn was a brilliant actor as he was my dads favourite actor, and I grew up watching his films as a child.  ",alway known errol flynn wa brilliant actor wa dad favourit actor grew watch hi film child,1,Good
But it wasn't until I watched this film that I realised how great he actually was.  ,wa not watch thi film realis great actual,1,Good
I'll give this film 10 out of 10!  ,give thi film,1,Good
"I know that Jim O'Connor was very energetic and that nobody could be as much as him, but George was well dull.  ",know jim oconnor wa veri energet nobodi could much georg wa well dull,0,Bad
"He really didn't seem to want to be hosting; his voice-overs were monotonous, didn't get involved with the guests.  ",realli not seem want hosting hi voiceov monotonous not get involv guests,0,Bad
"Lovely little thriller from Hitchcock, with lots of nice shenanigans surrounding a murdered spy, a kidnapped child, a nasty church, a foreign plot and some random taxidermists.  ",love littl thriller hitchcock lot nice shenanigan surround murder spy kidnap child nasti church foreign plot random taxidermists,1,Good
